Name,Lat,Lon,Cluster
GP_10574,31.25,103.5,7
GP_10575,31.25,103.75,7
GP_10576,31.25,104.0,7
GP_10577,31.25,104.5,7
GP_10578,31.25,107.25,7
GP_10579,31.25,107.5,7
GP_1058,53.5,115.5,2
GP_10580,31.25,107.75,7
GP_10581,31.25,108.0,7
GP_10582,31.25,108.25,7
GP_10583,31.25,108.5,7
GP_10584,31.0,82.0,5
GP_10585,31.0,82.25,5
GP_10586,31.0,82.5,5
GP_10587,31.0,82.75,5
GP_10588,31.0,83.0,5
GP_10589,31.0,83.25,5
GP_1059,53.75,119.75,2
GP_10590,31.0,83.5,5
GP_10591,31.0,83.75,5
GP_10592,31.0,84.0,5
GP_10593,31.0,84.25,5
GP_10594,31.0,84.5,5
GP_10595,31.0,84.75,5
GP_10596,31.0,85.0,5
GP_10597,31.0,85.5,5
GP_10598,31.0,85.75,5
GP_10599,31.0,86.0,5
GP_106,42.75,-110.75,10
GP_1060,53.75,120.75,2
GP_10600,31.0,86.25,5
GP_10601,31.0,86.5,5
GP_10602,31.0,86.75,5
GP_10603,31.0,87.0,5
GP_10604,31.0,87.75,5
GP_10605,31.0,88.0,5
GP_10606,31.0,88.25,5
GP_10607,31.0,88.5,5
GP_10608,31.0,88.75,5
GP_10609,31.0,89.0,5
GP_1061,54.0,122.0,2
GP_10610,31.0,89.25,5
GP_10611,31.0,89.5,5
GP_10612,31.0,89.75,5
GP_10613,31.0,90.0,7
GP_10614,31.0,90.25,7
GP_10615,31.0,90.5,7
GP_10616,31.0,90.75,7
GP_10617,31.0,91.0,7
GP_10618,31.0,91.25,7
GP_10619,31.0,91.75,7
GP_1062,54.0,124.0,2
GP_10620,31.0,92.0,7
GP_10621,31.0,92.25,7
GP_10622,31.0,92.5,7
GP_10623,31.0,92.75,7
GP_10624,31.0,93.0,7
GP_10625,31.0,93.25,7
GP_10626,31.0,93.5,7
GP_10627,31.0,93.75,7
GP_10628,31.0,94.0,7
GP_10629,31.0,94.25,7
GP_1063,53.5,124.0,2
GP_10630,31.0,94.5,7
GP_10631,31.0,94.75,7
GP_10632,31.0,95.0,7
GP_10633,31.0,95.25,7
GP_10634,31.0,95.5,7
GP_10635,31.0,95.75,7
GP_10636,31.0,96.0,7
GP_10637,31.0,96.25,7
GP_10638,31.0,96.5,7
GP_10639,31.0,96.75,7
GP_1064,52.0,106.75,2
GP_10640,31.0,97.0,7
GP_10641,31.0,97.25,7
GP_10642,31.0,97.5,7
GP_10643,31.0,97.75,7
GP_10644,31.0,98.25,7
GP_10645,31.0,98.5,7
GP_10646,31.0,98.75,7
GP_10647,31.0,99.0,7
GP_10648,31.0,99.25,7
GP_10649,31.0,99.5,7
GP_1065,53.0,108.5,2
GP_10650,31.0,99.75,7
GP_10651,31.0,100.0,7
GP_10652,31.0,100.25,7
GP_10653,31.0,100.5,7
GP_10654,31.0,100.75,7
GP_10655,31.0,101.0,7
GP_10656,31.0,101.25,7
GP_10657,31.0,101.5,7
GP_10658,31.0,101.75,7
GP_10659,31.0,102.0,7
GP_1066,52.75,110.0,2
GP_10660,31.0,102.25,7
GP_10661,31.0,102.5,7
GP_10662,31.0,102.75,7
GP_10663,31.0,103.0,7
GP_10664,31.0,103.25,7
GP_10665,31.0,103.5,7
GP_10666,31.0,103.75,7
GP_10667,31.0,104.0,7
GP_10668,31.0,105.5,7
GP_10669,31.0,106.0,7
GP_1067,52.5,111.5,2
GP_10670,31.0,107.75,7
GP_10671,31.0,108.0,7
GP_10672,31.0,109.0,7
GP_10673,31.0,109.25,7
GP_10674,31.0,109.5,7
GP_10675,31.0,109.75,7
GP_10676,30.75,84.0,5
GP_10677,30.75,84.25,5
GP_10678,30.75,84.5,5
GP_10679,30.75,84.75,5
GP_1068,52.0,116.5,2
GP_10680,30.75,85.0,5
GP_10681,30.75,85.5,5
GP_10682,30.75,86.0,5
GP_10683,30.75,86.25,5
GP_10684,30.75,86.5,5
GP_10685,30.75,86.75,5
GP_10686,30.75,87.0,5
GP_10687,30.75,87.25,5
GP_10688,30.75,87.5,5
GP_10689,30.75,87.75,5
GP_1069,52.75,118.75,2
GP_10690,30.75,88.0,5
GP_10691,30.75,88.25,5
GP_10692,30.75,88.5,5
GP_10693,30.75,88.75,5
GP_10694,30.75,89.0,5
GP_10695,30.75,89.5,7
GP_10696,30.75,89.75,7
GP_10697,30.75,90.0,7
GP_10698,30.75,90.25,7
GP_10699,30.75,91.25,7
GP_107,47.25,-121.75,10
GP_1070,52.25,117.75,2
GP_10700,30.75,91.75,7
GP_10701,30.75,92.0,7
GP_10702,30.75,92.5,7
GP_10703,30.75,92.75,7
GP_10704,30.75,93.0,7
GP_10705,30.75,93.25,7
GP_10706,30.75,93.5,7
GP_10707,30.75,93.75,7
GP_10708,30.75,94.0,7
GP_10709,30.75,94.25,7
GP_1071,51.75,102.5,2
GP_10710,30.75,94.5,7
GP_10711,30.75,94.75,7
GP_10712,30.75,95.0,7
GP_10713,30.75,95.25,7
GP_10714,30.75,95.5,7
GP_10715,30.75,95.75,7
GP_10716,30.75,96.0,7
GP_10717,30.75,96.25,7
GP_10718,30.75,96.5,7
GP_10719,30.75,96.75,7
GP_1072,51.75,107.5,2
GP_10720,30.75,97.0,7
GP_10721,30.75,97.25,7
GP_10722,30.75,97.5,7
GP_10723,30.75,97.75,7
GP_10724,30.75,98.25,7
GP_10725,30.75,98.5,7
GP_10726,30.75,98.75,7
GP_10727,30.75,99.0,7
GP_10728,30.75,99.25,7
GP_10729,30.75,99.5,7
GP_1073,51.25,110.5,2
GP_10730,30.75,99.75,7
GP_10731,30.75,100.0,7
GP_10732,30.75,100.25,7
